Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Qatar,QAT,GDP per capita (current US$),NY.GDP.PCAP.CD,66984.9102002396,58467.2355711087,59407.6980498883,66264.081168209,62827.3969543275
Romania,ROU,GDP per capita (current US$),NY.GDP.PCAP.CD,8976.95523628605,9404.38048702324,10727.9717457361,12494.4246355892,12957.9991142218
Russian Federation,RUS,GDP per capita (current US$),NY.GDP.PCAP.CD,9313.021484375,8704.89453125,10720.33203125,11287.3544921875,11536.2587890625
Rwanda,RWA,GDP per capita (current US$),NY.GDP.PCAP.CD,733.822850390664,728.806677024971,756.547604942853,768.964130260141,806.128014394646
Samoa,WSM,GDP per capita (current US$),NY.GDP.PCAP.CD,4048.46705675448,4105.81068128252,4261.64051331162,4189.05221936817,4308.30145287685
San Marino,SMR,GDP per capita (current US$),NY.GDP.PCAP.CD,42281.8112547926,43398.4285242172,44885.5178370475,48464.5246465877,47287.3983949924
Sao Tome and Principe,STP,GDP per capita (current US$),NY.GDP.PCAP.CD,1571.4985399244,1688.37530288509,1805.52465051182,1950.62935180937,1991.73826385183
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,20442.3660631613,19930.407543816,20910.4829617971,24175.5831237449,23405.7061087736
Senegal,SEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1238.12639982031,1290.74997113225,1385.19921458889,1484.22706929232,1462.6783520711
Serbia,SRB,GDP per capita (current US$),NY.GDP.PCAP.CD,5588.9794435877,5765.20335248009,6292.5465490011,7252.40366767165,7417.20658487785
Seychelles,SYC,GDP per capita (current US$),NY.GDP.PCAP.CD,14894.4857827096,15409.8050193774,15961.2416816717,16409.4711279453,16851.1197648771
Sierra Leone,SLE,GDP per capita (current US$),NY.GDP.PCAP.CD,581.293411814954,515.44783140804,484.456115646579,519.649983516466,506.606908156498
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,55645.6068614606,56895.6433372978,61164.8973569773,66836.5385122528,66070.4706679227
